RB,R_NUMBER,S_NUMBER,S_NAME,Datum,LENGTH SECTION,Ave_Rain,Max_Snow,Ave_Temp,Max_Temp,Min_Temp,Аve_Height,LIMIT,Kr.Kar.,Ave_Rad,Lat_Force,Ave_Inc,SKIDRES,RDB_RUT ,IRI,PCI,KON.NAK.,SSD H,SSD V,V sign,H sign,K.Int. P.T,K.Bridges,PGDS_2017,Wi_2017
12,A1,12,Negotino 1 (avtopat) - Demir Kapija 1 (avtopat),2016,16110,540,3.15,14.02,32.81,-1.75,136,110.0,35.58,5168,0.181,0.9,0.4,2.77,2.2,76,0.37,0.81,0.06,19,2.0,0.12,0.31,5298,0.621
13,A1,13,Demir Kapija 1 (avtopat) - Miravci 2 (avtopat),2018,22739,570,6.77,13.4,31.94,-2.12,250,107.0,41.05,1252,0.706,1.95,0.4,3.53,1.01,93,0.44,0.66,0.04,5,2.0,0.04,0.48,0,0.0
14,A1,14,Miravci 2 (avtopat) - Smokvica (avtopat),2018,5333,538,2.93,14.06,32.86,-1.73,132,110.0,15.34,3209,0.291,2.33,0.5,2.75,0.99,94,0.19,0.38,0.19,5,2.0,0.19,0.19,0,0.0
15,A1,16,Smokvica (avtopat) - Prdejci (avtopat),2015,7188,524,1.04,14.39,33.31,-1.54,77,90.0,26.84,5043,0.124,0.83,0.5,3.15,1.67,95,0.42,0.56,0.0,13,2.0,0.28,0.42,6735,0.0
16,A1,17,Prdejci (avtopat) - Gevgelija 1 (avtopat),2015,6242,519,0.61,14.46,33.42,-1.49,59,100.0,21.64,4508,0.171,0.98,0.5,5.65,1.82,86,0.48,0.16,0.0,12,2.0,0.16,0.32,6735,1.602
17,A1,18,Gevgelija 1 (avtopat) - Drzhavna granica MK/GR (Bogorodica),2017,3864,520,0.62,14.46,33.41,-1.49,61,73.33,46.52,4593,0.09,1.93,0.5,4.39,2.1,81,0.26,0.52,0.0,11,2.0,0.26,0.52,9127,2.588
18,A2,51,Miladinovci (avtopat) - Ilinden (avtopat),2013,7340,571,6.96,13.36,31.9,-2.14,258,74.0,45.06,2613,0.162,1.57,0.4,3.35,2.79,59,0.41,0.41,0.14,18,2.0,0.41,0.82,7348,0.0
19,A2,52,Ilinden (avtopat) - Indzhikovo(avtopat),2013,3997,564,6.19,13.5,32.09,-2.06,231,100.0,104.82,2062,0.374,1.96,0.4,2.17,3.7,61,0.5,0.25,0.0,18,2.0,0.5,0.25,7348,0.0
20,A2,53,Indzhikovo (avtopat) - Chento 2 (avtopat),2013,2094,564,6.18,13.5,32.09,-2.06,231,120.0,12.85,15900,0.07,1.62,0.4,1.13,4.18,72,0.0,0.96,0.0,18,2.0,0.48,0.0,6167,0.0
21,A2,54,Chento 2 (avtopat) - Kluchka Stenkovec,2013,14363,579,8.07,13.17,31.64,-2.25,289,72.0,21.48,3010,0.133,0.88,0.5,1.05,1.71,66,0.28,0.49,0.14,18,2.0,0.35,0.63,6167,10.095
22,A2,55,Kluchka Stenkovec - Saraj 1 (avtopat),2017,9210,588,8.96,13.02,31.43,-2.35,318,90.0,33.25,4165,0.15,4.31,0.5,1.53,1.58,71,0.11,0.54,0.11,18,2.0,0.33,1.09,6139,3.257
23,A2,56,Saraj 1 (avtopat) - D. Grchec (avtopat),2017,2024,577,7.82,13.21,31.7,-2.23,282,90.0,26.95,1956,0.32,2.16,0.5,0.98,1.74,70,0.0,0.49,0.0,18,2.0,0.49,0.99,11935,9.881
24,A2,57,D. Grchec (avtopat) - Grupchin (avtopat),2017,15289,600,10.68,12.72,31.01,-2.52,367,96.0,34.71,6338,0.112,1.92,0.4,0.9,1.48,74,0.2,0.46,0.07,24,2.0,0.2,0.39,11935,5.233
25,A2,58,Grupchin (avtopat) - Zhelino 1 (avtopat),2013,7917,626,13.95,12.15,30.24,-2.86,468,96.67,38.21,1293,0.558,1.84,0.5,0.64,1.61,76,0.38,0.76,0.13,24,2.0,0.25,0.88,13406,1.263
26,A2,59,Zhelino 1 (avtopat) - Tetovo 1 (avtopat),2013,6857,616,12.51,12.4,30.58,-2.71,428,110.0,27.31,3342,0.279,2.06,0.5,1.5,1.62,75,0.29,0.73,0.0,24,2.0,0.15,0.73,13406,1.458
27,A2,60,Tetovo 1 (avtopat) - Blatishte (Kamenjane) (avtopat),2013,7502,622,13.26,12.27,30.4,-2.79,451,92.0,17.95,11630,0.056,0.44,0.5,2.61,2.13,75,0.27,0.4,0.0,24,2.0,0.53,0.67,13087,22.661
28,A4,151,Indzhikovo (avtopat) - Petrovec 1 (avtopat),2013,10644,564,6.12,13.51,32.11,-2.06,230,82.0,53.7,33355,0.016,0.61,0.2,5.76,2.13,71,0.28,0.38,0.19,16,2.0,0.28,0.28,16099,12.683
29,A4,152,Miladinovci 1 (avtopat) - Sredno Konjari (avtopat),2019,6384,590,9.33,12.95,31.34,-2.38,329,120.0,72.29,1250,0.889,4.48,0.5,1.5,1.74,92,0.31,0.94,0.16,4,2.0,0.16,0.16,0,0.0
30,A4,153,Sredno Konjari (avtopat) - Preod (avtopat),2019,15210,613,12.22,12.45,30.65,-2.68,417,120.0,32.77,2104,0.528,3.03,0.5,1.5,1.45,93,0.33,0.33,0.13,4,2.0,0.13,0.46,0,0.0
31,A4,154,Preod (avtopat) - Sveti Nikole S (avtopat),2019,6879,588,9.03,13.0,31.41,-2.35,320,120.0,18.8,2263,0.491,1.7,0.5,1.5,1.12,92,0.0,0.15,0.15,4,2.0,0.15,0.44,0,0.0
32,A4,155,Sveti Nikole S (avtopat) - Sveti Nikole J (avtopat),2019,3219,576,7.67,13.24,31.74,-2.21,278,120.0,56.59,920,1.208,0.8,0.5,1.5,1.16,94,0.0,0.62,0.0,4,2.0,0.31,1.24,0,0.0
33,A4,156,Sveti Nikole J (avtopat) - Kadrifakovo (avtopat),2019,8340,570,6.87,13.38,31.93,-2.13,253,120.0,29.77,2618,0.424,0.63,0.5,1.5,0.89,94,0.36,0.24,0.12,4,2.0,0.24,0.6,0,0.0
34,A3,158,Kadrifakovo (avtopat) - Shtip (Tri Cheshmi - avtopat),2019,8567,580,7.94,13.19,31.67,-2.24,291,120.0,1.65,7086,0.157,0.74,0.5,1.5,1.09,96,0.23,0.23,0.12,23,2.0,0.23,0.12,5943,3.502
